7.632458762477258851e-01,6.035055309677602731e-01,8.539504866059735022e-01,8.439568927517782093e-01
5.875149656785444430e-01,9.777320692875290931e-01,7.290826896295429238e-01,7.651779665637044037e-01
8.852313331659451556e-01,1.670855786830627299e-02,9.812746194625782126e-01,9.535105751115441342e-01
9.834914730867522215e-01,2.177782512507734358e-01,2.669061659692926192e-01,2.849048037140491374e-01
6.484396058143017116e-01,1.565272347248526374e-01,5.068160742327048052e-01,6.455666589654498466e-01
8.633916506993368767e-01,7.933251850617661916e-02,4.644148365915152787e-01,2.381725404058073758e-01
7.994979836770034209e-01,6.111153720122516342e-01,2.365797577140182906e-01,8.114152128959479793e-01
2.152742517901041763e-01,1.775166287549526656e-01,5.531101861820472143e-01,4.146397012949187832e-01
2.781712851318483004e-01,3.543093638812254698e-01,8.720613446539160485e-02,5.264305400823245940e-01
2.621786617090900995e-01,2.971119895922916809e-01,4.998572820710915909e-01,2.256178989768038434e-01
8.941229815756457366e-01,8.268878087999705917e-01,8.774877949043656811e-01,7.520556373338339595e-01
8.369944533079991533e-01,8.156007710744813677e-01,7.982045411982084948e-01,7.380902781598710494e-01
